"","Product","Harvest.Year","Harvest.Season","Grow.Out.Method","Price","Product.Type","NPV.Output","IRR.Output"
"285",275000,"Y3","Fall","Ear Hanging",22.5,"Adductor",-624621.814180284,-0.292965303303301
"286",3e+05,"Y3","Fall","Ear Hanging",22.5,"Adductor",-589400.520734092,-0.210133749820392
"287",50000,"Y3","Fall","Ear Hanging",23,"Adductor",-852818.717497092,NA
"288",75000,"Y3","Fall","Ear Hanging",23,"Adductor",-824240.509170479,NA
"289",1e+05,"Y3","Fall","Ear Hanging",23,"Adductor",-795624.174740326,NA
"290",125000,"Y3","Fall","Ear Hanging",23,"Adductor",-771534.87695789,NA
"291",150000,"Y3","Fall","Ear Hanging",23,"Adductor",-738507.967050398,NA
"292",175000,"Y3","Fall","Ear Hanging",23,"Adductor",-715479.752928742,NA
"293",2e+05,"Y3","Fall","Ear Hanging",23,"Adductor",-678050.412522785,NA
"294",225000,"Y3","Fall","Ear Hanging",23,"Adductor",-663140.643440361,NA
"295",250000,"Y3","Fall","Ear Hanging",23,"Adductor",-626221.132140444,-0.340032950354761
"296",275000,"Y3","Fall","Ear Hanging",23,"Adductor",-605941.426391663,-0.253807798560314
"297",3e+05,"Y3","Fall","Ear Hanging",23,"Adductor",-569021.925091746,-0.184838670567382
"298",50000,"Y3","Fall","Ear Hanging",23.5,"Adductor",-849422.301789643,NA
"299",75000,"Y3","Fall","Ear Hanging",23.5,"Adductor",-819145.885609305,NA
"300",1e+05,"Y3","Fall","Ear Hanging",23.5,"Adductor",-788831.343325427,NA
"301",125000,"Y3","Fall","Ear Hanging",23.5,"Adductor",-763043.837689267,NA
"302",150000,"Y3","Fall","Ear Hanging",23.5,"Adductor",-728318.71992805,NA
"303",175000,"Y3","Fall","Ear Hanging",23.5,"Adductor",-703592.29795267,NA
"304",2e+05,"Y3","Fall","Ear Hanging",23.5,"Adductor",-664464.749692989,NA
"305",225000,"Y3","Fall","Ear Hanging",23.5,"Adductor",-647856.77275684,NA
"306",250000,"Y3","Fall","Ear Hanging",23.5,"Adductor",-609239.053603198,-0.289807207171633
"307",275000,"Y3","Fall","Ear Hanging",23.5,"Adductor",-587261.038603042,-0.223096743810145
"308",3e+05,"Y3","Fall","Ear Hanging",23.5,"Adductor",-548643.329449401,-0.162821464444212
"309",50000,"Y3","Fall","Ear Hanging",24,"Adductor",-846025.886082194,NA
"310",75000,"Y3","Fall","Ear Hanging",24,"Adductor",-814051.262048132,NA
"311",1e+05,"Y3","Fall","Ear Hanging",24,"Adductor",-782038.511910529,NA
